cuenta_nombre,tipo_eeff_propuesto,signo_propuesto,tipo_eeff_correcto,signo_correcto,notas
AJUSTE A RESULTADO DEVENGADO ACUMULADO,patrimonio,1,,,
AJUSTE A RESULTADO DEVENGADO ACUMULADO (+),patrimonio,1,,,
AUMENTO (DISMINUCIÓN) NETO DE EFECTIVO Y EFECTIVO EQUIVALENTE,activo,1,,,
AUMENTO (DISMINUCIÓN) NETO DE EFECTIVO Y EFECTIVO EQUIVALENTE (+ Ó -),activo,1,,,
Abono a pérdida devengada acumulada,gasto_no_operacional,-1,,,
Abono a pérdida devengada acumulada (+),gasto_no_operacional,-1,,,
Abono a pérdida devengada acumulada (más),gasto_no_operacional,-1,,,
Acciones,otro,1,,,
Acciones de sociedades anónimas abiertas,otro,1,,,
Acciones de sociedades anónimas inmobiliarias y concesionarias,otro,1,,,
Acciones no registradas,otro,1,,,
Activos corrientes,activo,1,,,
Activos financieros a costo amortizado,gasto_operacional,-1,,,
Activos financieros a costo amortizado (+),gasto_operacional,-1,,,
Activos financieros a valor razonable con efecto en otros resultados integrales,activo,1,,,
Activos financieros a valor razonable con efecto en otros resultados integrales (+),activo,1,,,
Activos financieros a valor razonable con efecto en resultados,activo,1,,,
Activos financieros a valor razonable con efecto en resultados (+),activo,1,,,
Activos financieros a valor razonable con efecto en resultados entregados en garantia,activo,1,,,
Activos financieros a valor razonable con efecto en resultados entregados en garantía,activo,1,,,
Activos financieros a valor razonable con efecto en resultados entregados en garantía (+),activo,1,,,
Activos no corrientes,activo,1,,,
Adiciones,otro,1,,,
Ajuste a Resultados Acumulados,patrimonio,1,,,
Ajuste a resultado devengado acumulado,patrimonio,1,,,
Ajustes  provenientes  de  inversiones  valorizadas  por  el  método  de  la  participación (+ ó -),activo,1,,,
Ajustes de inversiones valorizadas por el método de la participación,activo,1,,,
Ajustes por Conversión,otro,1,,,
Ajustes por Conversión (+ o -),otro,1,,,
Ajustes por Conversión (+ ó -),otro,1,,,
Ajustes por conversión,otro,1,,,
Ajustes por conversión (pasivos en Pesos Chilenos),pasivo,-1,,,
Ajustes provenientes de inversiones valorizadas por el método de la participación,activo,1,,,
